Department,Category,Sub Category 1,Sub Category 2
Spare Parts,Cold Line Artikel Inox ,CL04AI Evoporator Fan - 4 Inch,
Spare Parts,Cold Line Artikel Inox ,CL05AI Hinges - Door,
Spare Parts,Cold Line Artikel Inox ,CL06AI Leg Bushes - Coldline,
Spare Parts,Cold Line Spire Kitchen Solutions ,CL01SK Door Gasket - screwed type,
Spare Parts,Cold Line Spire Kitchen Solutions ,CL02SK Door Spring,
Spare Parts,Cold Line Spire Kitchen Solutions ,CL03SK Condensor fan,
Spare Parts,Cold Line Spire Kitchen Solutions ,CL04SK Condensor motor,
Spare Parts,Cold Line Spire Kitchen Solutions ,CL05SK 4 Inch Cooling fans,
Spare Parts,Cold Line Spire Kitchen Solutions ,CL06SK Temperature Controller - Dixel - XROCX,
Spare Parts,Cold Line Spire Kitchen Solutions ,CL07SK Rocker Switch,
Spare Parts,Cold Room Bluestar ,CR01BS Controller,
Spare Parts,Cold Room Bluestar ,CR02BS Gasket - 4 Mtr,
Spare Parts,Cold Room Bluestar ,CR03BS Sweep gasket,
Spare Parts,Cold Room Bluestar ,CR04BS Hinges - Door bottom,
Spare Parts,Cold Room Bluestar ,CR05BS Hinges - Door top,
Spare Parts,Cold Room Bluestar ,CR06BS Handle,
Spare Parts,Cold Room Bluestar ,CR07BS Door closer,
Spare Parts,Cold Room Bluestar ,CR08BS Tubelight 2 ft,
Spare Parts,Cold Room Bluestar ,CR09BS Cooling fan motor,
Spare Parts,Cold Room Odu Bluestar ,CRODU01BS Condensor fan,
Spare Parts,Cold Room Odu Bluestar ,CRODU02BS Condendor motor,
Spare Parts,Cold Room Odu Bluestar ,CRODU03BS Capacitor,
Spare Parts,Cold Room SLB ,CR01SLB Strip Curtain,
Spare Parts,Cold Room SLB ,CR02SLB Curtain stand - SS,
Spare Parts,DB L&T ,DB01LT 15A 3 Phase motor starter,
Spare Parts,DB Legrand ,DB01L 16 A SP MCB,
Spare Parts,DB Legrand ,DB02L 32 A SP MCB,
Spare Parts,DB Legrand ,DB03L 32A DP MCB,
Spare Parts,DB Legrand ,DB04L 32A DP RCCB,
Spare Parts,DB Legrand ,DB05L 63A 4P MCB,
Spare Parts,DB Legrand ,DB06L 16 A DP RCCB,
Spare Parts,DB Legrand ,DB07L 32A DP RCCB,
Spare Parts,DB Legrand ,DB08L 10A 4P MCB,
Spare Parts,DB Legrand ,DB09L 25A 4P MCB,
Spare Parts,DB Minilac ,DB01ML Single Phase preventer,
Spare Parts,DB Sna Aircon ,DB01SNA Starter for Exhaust,
Spare Parts,DB Sna Aircon ,DB02SNA Starter for Fresh Air,
Spare Parts,DG Cummins ,DG01 Coolent,
Spare Parts,DG Cummins ,DG02 Battery Distilled water,
Spare Parts,Dsw Ac Commercial Aircon ,DSWAC01CA Stainer,
Spare Parts,Dsw Ac Commercial Aircon ,DSWAC02CA Condensor,
Spare Parts,Dsw Ac Commercial Aircon ,DSWAC03CA Valve,
Spare Parts,Dsw Ac Commercial Aircon ,DSWAC04CA Cooling coil,
Spare Parts,Dsw Ac Commercial Aircon ,DSWAC05CA Blower,
Spare Parts,Dsw Ac Commercial Aircon ,DSWAC06CA Blower motor,
Spare Parts,Dsw Ac Commercial Aircon ,DSWAC07CA Filter,
Spare Parts,Dsw Ac Commercial Aircon ,DSWAC08CA Drain valve,
Spare Parts,Eeletric Cable Polycab ,EC01 3 core 4 Sq mm,
Spare Parts,Electric Tawa Artikel Inox ,ET01AI Heater,
Spare Parts,Electric Tawa Artikel Inox ,ET02AI Thermostat,
Spare Parts,Electric Tawa Butler ,ET01TF Heater,
Spare Parts,Electric Tawa Butler ,ET02TF Thermostat,
Spare Parts,Exhaust Sna Aircon ,EX01SNA Exhaust Motor,
Spare Parts,Exhaust Sna Aircon ,EX02SNA Pully,
Spare Parts,Exhaust Sna Aircon ,EX03SNA Blower,
Spare Parts,Exhaust Sna Aircon ,EX04SNA Shaft,
Spare Parts,Exhaust Sna Aircon ,EX05SNA V belt,
Spare Parts,Exhaust Sna Aircon ,EX06SNA Scruber - filter,
Spare Parts,Exhaust Sna Aircon ,EX07SNA Anti Vibration pad,
Spare Parts,Exhaust Sna Aircon ,EX08SNA Door handle,
Spare Parts,Exhaust Sna Aircon ,EX09SNA Door lock,
Spare Parts,Exhaust Spire Kitchen Solutions ,EX01SK Oil container,
Spare Parts,Exhaust Unit APC ,EX01APC Exhaust Unit ,
Spare Parts,Exhaust Unit APC ,EX02APC Fresh Air unit,
Spare Parts,Fresh Air Sna Aircon ,FA01SNA Motor,
Spare Parts,Fresh Air Sna Aircon ,FA02SNA Pully,
Spare Parts,Fresh Air Sna Aircon ,FA03SNA Blower,
Spare Parts,Fresh Air Sna Aircon ,FA04SNA Shaft,
Spare Parts,Fresh Air Sna Aircon ,FA05SNA V belt,
Spare Parts,Fresh Air Sna Aircon ,FA06SNA Fine filter,
Spare Parts,Fresh Air Sna Aircon ,FA07SNA Water pump,
Spare Parts,Fresh Air Sna Aircon ,FA08SNA Drain valve,
Spare Parts,Fresh Air Sna Aircon ,FA09SNA Float valve,
Spare Parts,Fresh Air Sna Aircon ,FA10SNA Anti Vibration pad,
Spare Parts,Fryer Artikel Inox ,FY01AI Controller - I therm - 718e,
Spare Parts,Fryer Artikel Inox ,FY02AI Timer - Universal,
Spare Parts,Fryer Artikel Inox ,FY03AI Contactor,
Spare Parts,Fryer Artikel Inox ,FY04AI Sensor - Thermocouple - J type,
Spare Parts,Fryer Artikel Inox ,FY05AI Heating Element - 2KW,
Spare Parts,Fryer Artikel Inox ,FY06AI Leg Bushes,
Spare Parts,Fryer Spire Kitchen Solutions ,FY01SK Controller - Selec 303,
Spare Parts,Fryer Spire Kitchen Solutions ,FY02SK Timer - XT-346 - Selec,
Spare Parts,Fryer Spire Kitchen Solutions ,FY03SK Contactor,
Spare Parts,Fryer Spire Kitchen Solutions ,FY04SK Sensor,
Spare Parts,Fryer Spire Kitchen Solutions ,FY05SK Buzzer,
